Cephalopholis_argus	GCA_051992465.1
Cephalopholis_fulva	GCA_977019285.1
Cephalopholis_panamensis	GCA_046269485.1
Cromileptes_altivelis	GCA_019925165.1
Epinephelus_awoara	GCA_035609425.1
Epinephelus_bruneus	GCA_041684075.1
Epinephelus_fuscoguttatus	GCA_011397635.1
Eleginops_maclovinus	GCA_039105255.1
Cheilinus_chlorourus	GCA_050084645.1
Cheilinus_undulatus	GCA_049815525.1
Choerodon_rubescens	GCA_056506755.1
Choerodon_schoenleinii	GCA_047301625.1
Coris_julis	GCA_980441695.1
Halichoeres_bivittatus	GCA_977929225.1
Halichoeres_poeyi	GCA_965645315.1
Halichoeres_radiatus	GCA_977964395.1
Labroides_dimidiatus	GCA_030710495.1
Labrus_bergylta	GCA_963930765.1
Labrus_mixtus	GCA_963584025.1
Labrus_viridis	GCA_980909795.1
Semicossyphus_pulcher	GCA_022749735.1
Thalassoma_bifasciatum	GCA_977007655.1
Thalassoma_lucasanum	GCA_046269465.1
Thalassoma_pavo	GCA_984522925.1
Xyrichtys_novacula	GCA_962446985.1
Ctenolabrus_rupestris	GCA_965358205.2
Symphodus_cinereus	GCA_977927475.1
Symphodus_doderleini	GCA_979616585.1
Symphodus_mediterraneus	GCA_980914855.1
Lates_calcarifer	GCA_900066045.1
Lethrinus_nebulosus	GCA_045362485.1
Nemipterus_japonicus	GCA_053574625.1
Eleutheronema_tetradactylum	GCA_014490765.1
Centropyge_bicolor	GCA_037975185.1
Holacanthus_passer	GCA_025331565.1
Amphiprion_clarkii	GCA_051994265.1
Amphiprion_ocellaris	GCA_022539595.1
Amphiprion_percula	GCA_003047355.2
Acanthochromis_polyacanthus	GCA_021347895.1
Chrysiptera_cyanea	GCA_046866775.1
Premnas_biaculeatus	GCA_053813585.1
Scarus_psittacus	GCA_054948785.1
Scarus_rivulatus	GCA_051912175.1
Scarus_rubroviolaceus	GCA_054948765.1
Hypoplectrus_unicolor	GCA_964304545.1
Serranus_cabrilla	GCA_903364295.1
Serranus_scriba	GCA_977118025.1
Anthias_anthias	GCA_964269795.2
Anthias_nicholsi	GCA_051175865.2
Centropristis_striata	GCA_030273125.1
Paralabrax_maculatofasciatus	GCA_059582865.1
Pagrus_pagrus	GCA_965226575.1
Spicara_maena	GCA_978045295.1
Spondyliosoma_cantharus	GCA_900302685.1
Chrysoblephus_laticeps	GCA_982854185.1
Pagellus_erythrinus	GCA_965643245.1
Acanthopagrus_latus	GCA_904848185.1
Diplodus_annularis	GCA_977110885.1
Rhabdosargus_sarba	GCA_054083395.1
Pagellus_bogaraveo	GCA_979666705.1
Sarpa_salpa	GCA_977007045.1
Sparidentex_hasta	GCA_030272975.1
Sparus_aurata	GCA_900880695.1
Diplodus_puntazzo	GCA_963678695.2
Diplodus_vulgaris	GCA_052815025.1
Lagodon_rhomboides	GCA_039737535.1
Mastacembelus_armatus	GCA_900700395.1
Monopterus_albus	GCA_986269415.1
Lythrypnus_dalli	GCA_011763505.2
Gobius_paganellus	GCA_965278345.2
